Date,Time,Venue,Team A,Team B,Toss winners,Toss decision,1st innings score,1st innings wickets,2nd innings score,2nd innings wickets,match winner,won by,highest scorer,runs,highest wickets,figures,MoM
Oct-05,01:30,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,New Zealand,Bowling,282,9,283,1,New Zealand,Wickets,Rachin Ravindra,123,Matt henry,3/48(10),R.Ravindra
Oct-06,01:30,"Rajiv Gandhi International Stadium, Hyderabad",Pakistan,Netherlands,Netherlands,Bowling,286,10,205,10,Pakistan,Runs,Saud Shakeel,68,Haris Rauf,3/43(9),S.Shakeel
Oct-07,09:30,Himachal Pradesh Cricket Association Stadium,Bangladesh,Afghanistan,Bangladesh,Bowling,156,10,158,4,Bangladesh,Wickets,M.H.Miraz,57,M.H.Miraz,3/25(9),M.H.Miraz
Oct-07,01:30,"Arun Jaitley Stadium, Delhi",South Africa,Srilanka,Srilanka,Bowling,428,5,326,10,South Africa,Runs,aiden Markram,106,Gerald goetzee,3/68(10),Aiden Markram
Oct-08,01:30,"Chidambaram, Chennai",India,Australia,Australia,Batting,199,10,201,4,India,Wickets,KL Rahul,97,Ravindra Jadeja,3/28(10),KL Rahul
Oct-09,01:30,"Rajiv Gandhi International Stadium, Hyderabad",New Zealand,Netherlands,Netherlands,Bowling,322,7,223,10,New Zealand,runs,will Young,70,Mitchell Santner,5/59(10),Mitchell Santner
Oct-10,01:30,Himachal Pradesh Cricket Association Stadium,England,Bangladesh,Bangladesh,Bowling,364,9,227,10,England,Runs,David Malan,140,Reece Topley,4/43(10),David Malan
Oct-11,01:30,"Arun Jaitley Stadium, Delhi",India,Afghanistan,Afghanistan,batting,272,8,273,2,India,Wickets,Rohit Sharma,131,J.bumrah,4/39(10),Rohit Sharma
Oct-12,01:30,"Rajiv Gandhi International Stadium, Hyderabad",Pakistan,Srilanka,Srilanka,Batting,344,9,345,4,Pakistan,Wickets,M.Rizwan,131,Hasan ali,4/71(10),M.Rizwan
Oct-13,01:30,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",Australia,South Africa,Australia,Bowling,311,7,177,10,South Africa,Runs,Quiton de kock,109,Kagiso Rabada,3/33(8),Quiton de kock
Oct-14,10:30,"Chidambaram, Chennai",New Zealand,Bangladesh,New Zealand,Bowling,245,9,248,2,New Zealand,Wickets,Daryl Mitchell,89,L.Ferguson,3/49(10),L.Ferguson
Oct-14,01:30,"Arun Jaitley Stadium, Delhi",England,Afghanistan,England,Bowling,284,10,215,10,Afghanistan,Runs,R.Gurbaz,80,M.U.Rahman,3/51(10),M.U.Rahman
